street_marker,vioTime,depTime
C1118,659,681
11959W,659,694
12416N,659,674
4885W,660,797
7033S,660,676
12371S,660,1020
12433S,660,685
12358N,660,669
C348,660,673
2350N,660,690
13745W,660,776
570E,660,1020
7019S,660,673
9828N,660,708
C128,660,967
5386E,662,803
3435S,662,687
C13544,662,804
11786E,663,1078
11752E,663,670
2565S,663,684
12267S,663,727
C9114,663,673
12273S,663,722
C9130,663,1030
12286N,664,687
13358E,664,692
959W,664,680
12461S,664,669
4833W,664,883
12445S,664,707
1205W,665,693
2508N,665,690
11748E,665,675
13030N,666,1110
1157W,666,702
12063W,667,757
11895W,667,700
13381W,668,675
12285S,669,680
5121W,669,728
C320,669,705
C2958,669,684
1433W,669,840
916E,670,694
12420N,670,741
12455S,670,681
C1144,670,680
13621W,670,826
1175W,671,679
9451S,671,718
C996,671,779
C300,671,745
1431W,671,702
5325W,672,830
87W,672,678
13041S,672,714
11897W,672,688
7660N,674,759
13038N,674,787
13328E,674,679
912E,675,1067
C1142,675,691
50E,675,685
C1168,676,744
11963W,676,730
13234N,676,681
13322E,677,702
13228N,677,695
11708E,677,875
12483S,678,724
9852N,678,764
11957W,678,730
12340N,678,714
12046E,679,750
354E,679,690
9244N,679,781
45W,679,699
11881W,680,694
12091W,681,740
981W,681,731
1512E,681,711
789W,681,882
12309S,681,719
13627W,681,729
13305W,682,720
C822,682,695
12485S,682,722
12414N,682,747
13258N,682,802
4005W,682,695
13876N,682,697
5335W,682,702
13032N,683,1110
5185W,684,1081
8651W,684,691
13671W,684,692
C232,684,695
10115W,684,696
1734N,684,696
9308N,684,720
13043S,685,694
13638E,686,739
C100,686,928
12263S,686,692
8649W,686,695
13045S,686,694
13685W,686,755
2343S,687,701
12446N,687,742
13332E,687,714
13788E,687,708
7592N,688,698
12276N,688,767
12450N,688,720
13223S,688,859
1516E,688,800
8812E,688,811
13787W,689,739
5560E,689,716
C7160,690,737
C6424,690,865
8281W,690,717
6187W,690,713
6227W,690,697
6225W,690,1110
6243W,690,756
14008E,690,702
5136E,690,705
5152E,690,968
13329W,690,712
12373S,690,706
5162E,690,1008
13399W,690,960
6191W,690,729
C6300,690,950
12418N,690,701
6259S,690,1230
6221W,690,1110
2551S,691,698
101W,691,717
2359S,691,761
13658E,691,741
5271W,691,708
8653W,692,708
2795S,692,826
12410N,692,769
9262N,693,706
779W,693,705
11703W,693,730
338E,694,791
12330N,694,702
C9170,694,735
12357S,695,736
2340N,695,725
C13600,695,750
13584E,695,742
12360N,695,708
1213W,695,778
1427W,695,702
13652E,696,730
12264N,696,711
C1134,696,703
12440N,696,762
C1230,696,726
12358N,697,712
13679W,697,879
6207W,697,806
13643W,697,728
12402N,697,722
12463S,698,815
12331S,698,750
7146N,698,811
C1210,698,713
12369S,699,728
994E,699,723
13810N,699,714
5329W,699,866
C13596,699,995
13695W,699,799
9523S,699,799
4899W,699,708
12297S,700,720
C13548,700,1009
13331W,700,726
C680,701,710
12397S,701,716
6205W,701,710
11877W,702,715
C588,702,709
13578E,703,755
13418E,703,728
5182E,703,783
791W,704,717
5144E,704,745
C1274,704,882
13681W,704,773
8883W,704,715
9232N,704,711
13336E,705,714
13316E,705,807
6037S,705,925
1847S,706,820
C1122,706,717
18E,706,756
C9166,706,717
11891W,706,743
79W,706,725
C830,707,716
10181W,708,717
2338N,708,733
C522,708,725
9417S,709,724
816E,709,761
1299W,709,797
13416E,709,714
13701W,709,731
9537S,709,818
2793S,710,721
3435S,710,720
2350N,710,836
2513S,710,720
C340,711,749
12441S,711,735
1437W,711,735
12443S,711,721
3959S,711,728
13040N,712,823
8810E,712,750
13649W,713,839
12457S,713,804
10191W,713,738
12042E,713,727
C7136,713,718
6171W,713,721
1723S,713,750
7035S,714,885
812E,714,744
13632E,714,726
12400N,715,739
12069W,715,782
13225S,715,759
7644N,715,725
9310N,715,765
13426E,715,726
C13720,716,782
2698N,716,742
8674E,716,724
12307S,717,733
2555S,717,814
1738N,718,725
13247S,718,723
C2774,718,751
7331W,719,727
C2668,720,739
C2858,720,734
6531S,720,748
13641W,720,742
795W,721,748
13215S,721,773
C2998,722,815
6024N,722,894
7336E,722,969
1581S,722,734
13912E,723,731
13628E,723,753
C256,723,793
C2724,724,798
13354E,724,803
787W,724,736
11768E,724,909
C6380,725,873
910E,725,744
12269S,725,809
12360N,727,745
C308,727,747
C13576,727,765
11766E,727,770
10013S,727,754
10036N,727,750
1908N,728,750
2551S,728,735
13868N,729,750
10166E,729,838
916E,729,762
6033S,729,809
C666,730,832
13347W,730,743
12387S,730,768
951W,730,765
C5860,730,841
1583S,730,749
1228E,730,744
13866N,731,752
13042N,731,1110
5353W,731,745
12477S,731,736
7670N,732,813
1157W,732,782
12471S,732,740
4825W,733,753
13301W,734,939
2553S,734,743
13675W,734,816
9449S,734,741
C818,734,746
C13624,735,744
9325S,735,756
13221S,736,749
C9122,736,750
11876E,736,745
9439S,737,824
6177W,737,859
12358N,737,764
C684,737,743
12268N,738,765
9958N,739,745
5138E,739,990
1175W,739,836
10189W,739,745
13034N,740,751
12393S,740,748
8651W,740,749
961W,740,766
1315W,740,1110
C9198,741,796
11883W,741,752
12469S,741,753
3761S,741,747
48E,741,748
C7178,741,915
C2636,742,895
13301S,742,817
13307W,743,757
12461S,743,749
8352E,743,750
C7196,743,779
5592E,744,752
673W,744,754
2884N,745,764
694E,746,776
12338N,746,757
C5864,746,1110
12093W,747,923
2563S,747,852
11707W,747,779
5130E,747,868
C7740,747,754
12285S,747,766
9531S,748,753
2E,748,754
9970N,748,982
C13572,748,769
45W,749,781
2557S,749,794
8713W,749,763
9292N,749,960
12288N,749,758
C204,749,798
C224,749,776
C7738,749,857
C6392,750,885
13373W,750,960
2849S,750,785
5804E,750,793
8318E,750,826
13367W,750,960
C344,750,847
8649W,750,769
4572E,750,767
7582N,750,759
C13676,751,805
12442N,751,784
8279W,751,788
13911W,751,762
7680N,751,758
1695S,751,769
C252,752,767
1425W,752,770
9453S,752,768
797W,752,783
12279S,752,801
13029S,753,806
13870N,753,781
C692,753,774
C6340,753,993
13634E,753,769
C412,753,990
C1212,754,764
13369W,755,960
C696,756,767
2337S,756,765
50E,756,816
C1115,756,772
13699W,757,769
12044E,758,780
13629W,758,764
1849S,758,1013
13015S,759,807
7592N,759,1110
C7028,759,1001
C5966,759,791
5150E,759,819
1205W,759,789
10034N,760,772
7588N,760,781
C6400,760,829
7784N,760,817
12459S,760,777
5829W,761,768
775W,761,800
12287S,761,778
11888E,762,772
13853S,762,771
1662N,762,785
C6428,763,867
C2944,763,816
334E,763,812
1297W,763,843
65W,763,801
13214N,764,803
C1166,765,780
13381W,765,786
5188E,765,1202
12264N,765,770
10007S,765,858
6231W,765,777
12377S,766,775
C548,766,774
C232,766,816
C4828,767,823
13758E,767,785
977W,768,1052
5154E,768,866
12487S,768,948
C6352,768,888
13760E,768,795
13327W,769,777
13350E,770,790
9943S,770,834
C264,771,804
12322N,771,798
2508N,771,787
5180E,771,814
C6404,771,867
37W,772,791
4574E,773,787
C680,773,787
1203W,774,781
1518E,774,906
C1150,774,851
13221S,775,782
13656E,775,914
1295W,775,789
13466E,775,782
13352E,775,923
43W,775,823
13912E,776,782
791W,776,812
425W,776,782
11810E,777,785
13039S,777,797
2561S,777,893
2341S,778,788
C1122,778,809
10121W,778,786
C7182,779,798
2845S,779,801
2553S,779,790
787W,779,788
12025W,781,787
5098E,781,1110
2344N,781,852
13486E,782,795
983W,782,814
8709W,783,815
12381S,783,798
C13580,783,905
12273S,783,792
12453S,784,811
C1121,784,819
C13656,784,811
994E,784,842
C4884,785,795
13578E,785,841
9447S,785,804
2851S,785,810
1232E,785,846
7597S,786,802
5807W,786,889
C1208,786,793
C320,786,801
2348N,786,792
C6402,786,874
10107W,787,795
13241S,787,795
9443S,787,816
C146,787,805
2892N,787,799
7331W,787,817
C1134,788,874
10178E,788,799
9437S,789,826
13789W,789,807
2513S,789,852
6517S,790,796
13663W,790,833
4005W,790,817
C2764,791,863
C6414,791,821
C296,791,799
9952N,791,815
5140E,791,798
9445S,791,822
C1224,792,818
C328,792,816
12363S,793,809
C2986,793,803
12042E,794,811
C9114,794,822
4003W,794,813
13866N,794,857
770E,794,826
13221S,795,800
C2836,795,933
8891W,795,801
13619W,796,803
5292E,796,806
1388E,796,814
12282N,797,807
12384N,797,888
C7712,798,837
779W,798,807
9533S,798,804
12291S,798,813
12293S,798,832
5094E,799,809
13911W,799,855
12360N,799,819
13796E,799,809
1236E,800,842
11961W,800,840
1979S,800,819
13262N,800,862
13269S,800,812
11748E,801,975
8649W,801,875
13418E,801,816
13033S,801,810
13687W,802,826
C1214,802,810
9515S,802,807
C6408,802,879
C5952,804,817
2822N,805,837
13876N,805,815
12003W,805,860
C332,805,815
13041S,806,824
C1162,806,823
10189W,806,924
C782,806,815
909W,807,818
1550E,808,823
1736N,808,816
12436N,810,967
6542N,810,824
9230N,810,818
2853S,811,851
1908N,811,820
13693W,811,818
13205S,811,839
1982N,812,869
C268,812,847
11931W,812,873
8713W,812,871
C1142,813,835
7660N,813,818
11979W,813,944
13586E,814,875
12029W,814,838
3435S,814,820
C5888,814,838
8316E,814,821
13240N,815,851
795W,815,858
5278E,815,844
5264E,815,833
12479S,815,826
13912E,815,857
C272,816,823
82E,816,960
12340N,817,825
1514E,818,835
13832N,818,837
797W,819,837
10032N,821,849
8314E,821,855
C1230,821,829
1157W,821,859
1429W,821,839
2856N,822,860
2551S,822,831
8651W,823,837
C1190,823,833
2553S,823,834
2818N,824,851
4509W,824,845
C9000,824,848
45W,824,840
10036N,824,875
3761S,825,840
11503S,825,831
C9020,825,1092
13416E,826,837
12461S,827,856
C276,827,833
2337S,828,836
C164,828,1230
C696,829,848
8653W,829,867
12393S,830,880
13234N,830,860
682E,830,846
7762N,830,846
85W,830,911
13203S,831,837
C674,831,888
83W,831,841
12338N,832,847
10177W,832,845
13332E,832,862
13444E,832,969
812E,832,838
C212,832,861
11872E,832,845
C9202,832,849
12286N,832,888
13636E,833,852
3914N,833,846
13045S,833,841
1738N,833,871
1412E,833,841
10034N,834,849
C9102,834,851
5592E,834,1014
C2642,834,961
C13644,835,845
C248,835,914
4860E,835,862
13312E,835,844
959W,835,860
793W,835,844
1660N,836,889
968E,836,848
11874E,836,902
12364N,836,851
1528E,836,848
13336E,837,861
775W,837,869
816E,838,844
13334E,838,849
13456E,839,885
13767W,839,888
13790E,839,887
5156E,839,846
C13536,839,844
6584N,839,844
C13588,840,915
557W,840,923
C810,840,870
13462E,841,862
C6172,841,887
10118E,841,897
10116E,841,897
10120E,841,897
1861S,842,877
4390E,843,890
12404N,843,1028
12264N,843,868
2357S,843,880
8710E,844,882
11746E,844,882
103W,844,859
10122E,844,877
C1220,845,852
12083W,845,859
C6636,845,987
1920N,846,864
C13692,846,950
6253S,847,867
12285S,848,873
C680,848,888
C2796,848,898
C1218,849,866
5594E,849,858
908E,850,878
10181W,850,860
2884N,850,876
12023W,851,871
3435S,851,865
2336N,851,898
13446E,852,866
2814N,852,858
2350N,852,887
2847S,852,864
C1210,852,899
11722E,853,875
1205W,853,905
6517S,853,860
12E,853,872
C7176,853,862
13304N,854,872
12360N,854,867
C2962,855,882
13406E,855,862
11959W,855,979
12047W,856,937
1427W,856,874
C2940,856,950
12045W,858,869
12273S,859,902
11503S,859,873
2508N,859,878
10171W,859,879
C296,859,899
12444N,860,872
C2672,860,894
C9158,860,889
1986N,860,866
12266N,860,871
C676,860,870
9200N,860,948
C204,860,870
11501S,862,873
13044N,862,1045
C9170,863,880
12420N,864,918
6213W,864,957
2890N,864,886
11897W,865,1009
9411S,865,880
1209W,865,931
7015S,865,1076
9449S,865,1096
13658E,865,985
C264,866,873
3392N,866,873
11876E,867,873
13356E,867,900
C240,868,873
11933W,868,917
11726E,868,874
C1122,869,926
338E,869,926
7660N,870,877
C13552,870,886
C2720,870,906
C500,871,1001
1452E,871,903
13610E,872,999
C5576,872,911
812E,873,890
3464N,874,886
45W,874,881
10197W,874,888
C1126,874,894
816E,874,882
12287S,874,885
10338E,875,977
1810E,875,894
13794E,876,883
13371W,876,883
12448N,876,922
13033S,876,926
682E,876,895
8711W,876,886
1175W,877,883
1404E,877,884
12441S,877,911
12297S,877,884
13029S,878,902
C806,878,893
12260N,878,906
65W,878,913
12391S,879,945
11883W,879,886
C1208,880,912
981W,881,974
C9122,881,890
6171W,882,900
9962N,882,904
6035S,882,1230
13772E,882,894
C830,882,899
1451W,882,932
13628E,882,899
C1234,882,896
8647W,883,943
13416E,883,910
2341S,883,894
13215S,883,895
1847S,883,895
10179W,884,895
11703W,884,1070
11754E,885,922
C2654,885,900
8702E,885,1110
48E,885,894
C700,885,931
13606E,886,895
11705W,886,1092
1979S,886,898
C13624,886,900
12067W,887,893
5123W,887,899
C1140,887,927
C304,888,932
1295W,889,960
12279S,889,925
11893W,889,898
C2842,889,942
13246N,889,1110
12277S,889,895
9433S,889,936
12398N,890,922
13853S,891,940
C224,891,957
11766E,892,1047
C1216,892,941
12046E,892,1040
959W,892,898
1192E,892,985
C236,893,995
1447W,893,907
3435S,893,1026
12343S,893,925
9527S,894,943
2557S,894,923
2847S,894,910
13766E,896,1090
9887S,896,931
13870N,897,914
7331W,897,927
13760E,897,910
2899S,897,906
C1166,897,936
C1212,897,941
C670,897,905
8639W,898,1028
4478E,898,955
13328E,898,920
39W,898,954
951W,898,907
10177W,898,918
13329W,899,918
C996,900,906
C7740,900,910
8325W,900,948
13221S,900,911
13301S,900,907
9238N,901,929
5284E,901,926
C1148,902,1070
2350N,902,948
9850N,904,1002
12416N,905,1056
13341W,906,1011
C268,907,927
13377W,908,917
5160E,908,1009
5271W,908,928
13632E,908,931
11756E,908,939
13217S,909,958
12329S,909,924
C696,910,924
2553S,911,924
13578E,912,953
5147W,912,934
12455S,912,938
C2756,913,964
C2800,913,923
13428E,913,938
13725W,913,936
1433W,914,943
C244,915,936
C13520,916,921
9897S,916,931
5349W,916,952
12461S,916,936
769W,918,930
13426E,918,1021
C1142,918,943
1789S,918,944
910E,918,923
C2664,918,927
13829S,919,948
13330E,919,940
C340,919,935
C1118,920,949
11740E,920,994
C256,920,945
11995W,920,933
2861S,920,925
9453S,920,930
C6420,921,1054
1458E,921,926
7741S,921,928
13612E,921,940
37W,921,931
C568,921,941
789W,921,1170
13256N,922,1110
13466E,922,964
9541S,922,931
13791W,922,936
2508N,922,930
2137S,922,1110
C576,923,960
C13720,924,1022
13580E,924,938
11923W,924,938
13215S,924,938
253W,924,944
7037S,925,1099
C344,925,934
13785W,925,989
13223S,926,975
682E,927,939
C592,928,933
13418E,929,935
8471W,929,1110
12477S,930,1030
9222N,930,958
C5858,930,959
1973S,930,1033
C672,931,942
13667W,931,959
13653W,931,957
12335S,932,991
959W,933,944
13343W,933,942
93W,934,946
673W,934,943
12085W,934,949
C6418,935,963
1920N,935,951
12443S,936,982
1979S,937,944
20E,937,960
C1218,937,995
12285S,938,978
C276,938,969
4886E,938,984
13654E,939,1063
C676,940,947
13228N,940,953
C692,940,947
C13532,941,982
13782E,941,998
C814,941,1009
C1130,942,1014
C13528,942,958
1847S,943,959
C9114,943,954
686E,943,1022
C13636,943,952
1289W,943,951
7741S,944,987
10166E,944,1027
1552E,944,1052
1982N,945,988
13480E,945,960
427W,945,1005
C6302,945,1016
9541S,945,1018
13634E,946,1041
C13676,946,951
13240N,946,1072
9443S,947,968
10173W,947,972
13416E,947,969
10003S,947,961
11503S,947,994
10119W,948,966
12265S,949,989
7666N,949,962
3930N,949,969
6227W,949,961
C13716,949,956
12015W,949,962
12330N,950,960
11896E,951,993
C680,951,976
50E,951,958
C572,951,969
C13620,952,961
1723S,952,983
C9174,952,979
C1134,953,963
1975S,953,960
12073W,953,1110
2338N,953,963
C6130,953,1010
C1168,953,970
13663W,954,970
2553S,954,969
10199W,954,992
13301S,954,959
910E,955,969
C782,955,1013
7680N,955,990
C7040,956,987
2557S,957,980
C1132,957,998
13307W,958,965
553W,959,964
13580E,959,972
C1262,959,982
C252,960,1109
7017S,960,1170
2129S,960,995
1228E,961,993
C666,962,1065
C280,962,1010
12263S,965,1110
13363W,966,1081
C670,966,975
12481S,967,1091
C13628,967,992
C348,968,985
13300E,969,1070
13578E,970,976
C204,970,980
5119W,970,1062
13215S,971,1018
12273S,971,976
13313W,971,981
487W,972,990
13346E,974,1019
13472E,974,991
2563S,974,979
13375W,975,1107
10177W,975,991
5123W,975,1110
13367W,975,1004
5259W,976,1034
5812E,976,1017
8895W,977,986
13629W,977,1001
13876N,978,989
13418E,978,990
7646N,979,1058
13632E,979,1023
C9178,979,992
13644E,980,1000
C13664,981,1010
5269W,981,994
13406E,982,991
13911W,982,989
12418N,982,1005
C1190,984,997
11707W,984,1027
916E,984,991
5146E,984,1023
4373W,985,991
11501S,985,992
5144E,986,996
1916N,986,1029
8871W,986,1230
962E,987,993
13677W,988,1065
5284E,988,994
43W,989,1002
8672E,990,1110
13296E,990,995
13636E,990,997
10179W,991,1006
13330E,991,1023
13787W,991,1052
1975S,992,1027
338E,992,999
13642E,993,1017
13753W,993,1031
1736N,993,1055
13578E,993,1008
37W,994,1110
11810E,994,1004
13332E,994,1034
12267S,994,1070
13416E,995,1011
775W,996,1007
9437S,996,1038
13781W,996,1011
13043S,996,1004
961W,997,1012
9517S,997,1074
C684,998,1170
C810,998,1170
C5954,999,1110
13626E,999,1005
2339S,999,1018
771W,999,1006
18E,999,1051
13725W,1000,1014
2384N,1000,1039
13033S,1001,1007
5072E,1001,1070
C2944,1001,1033
8316E,1001,1086
690E,1002,1066
13348E,1002,1027
C6174,1003,1009
2553S,1003,1015
8342E,1003,1085
8893W,1004,1039
7013S,1004,1044
7660N,1005,1032
13679W,1005,1081
13912E,1006,1021
10177W,1006,1025
6043S,1007,1031
11888E,1007,1051
C6088,1007,1016
C2760,1008,1052
13230N,1008,1014
13029S,1008,1023
13232N,1008,1016
C806,1008,1078
11875W,1008,1023
C13726,1009,1095
13347W,1009,1110
C676,1009,1019
673W,1010,1021
C1156,1010,1044
1207W,1010,1110
C1118,1011,1055
13050N,1011,1018
13340E,1012,1110
13301S,1012,1110
11873W,1012,1110
13418E,1012,1054
11742E,1013,1080
C1142,1014,1104
13446E,1014,1022
C13552,1014,1110
101W,1014,1110
13424E,1014,1025
13228N,1015,1082
1157W,1015,1070
13602E,1015,1081
13576E,1015,1023
C2940,1015,1054
13788E,1016,1110
13404E,1017,1022
6241W,1017,1046
10032N,1018,1030
89W,1019,1031
9222N,1019,1081
9429S,1019,1026
13723W,1019,1042
9453S,1020,1038
13911W,1021,1061
13408E,1021,1031
2376N,1021,1170
11894E,1021,1077
13853S,1021,1051
2336N,1021,1026
13832N,1022,1073
C296,1022,1034
8812E,1022,1170
694E,1022,1052
C1126,1023,1032
13201S,1023,1126
13262N,1024,1110
964E,1024,1079
11788E,1024,1033
11720E,1025,1068
C304,1025,1036
2350N,1025,1074
13697W,1025,1069
13377W,1026,1110
C818,1026,1033
7644N,1026,1037
10159W,1026,1073
C2776,1026,1230
13367W,1028,1110
2853S,1028,1039
C1176,1028,1076
2551S,1029,1105
9128N,1029,1056
12042E,1031,1052
6525S,1031,1069
13225S,1032,1043
13786E,1032,1044
C7752,1032,1082
7331W,1032,1110
7023S,1034,1170
951W,1034,1114
C244,1035,1068
5121W,1037,1056
C1168,1037,1057
43W,1038,1057
C5886,1038,1110
13655W,1038,1069
6540N,1040,1051
13876N,1041,1110
13304N,1041,1048
9200N,1042,1056
13369W,1043,1110
13868N,1043,1091
13303S,1043,1110
13223S,1043,1068
12093W,1045,1110
437W,1045,1056
5220E,1045,1110
C2648,1045,1188
961W,1046,1080
5292E,1046,1053
C2700,1047,1172
13402E,1047,1178
11523S,1047,1063
3435S,1048,1063
13332E,1049,1063
13334E,1049,1057
13638E,1050,1060
10197W,1052,1110
8676E,1052,1110
11503S,1052,1065
9310N,1053,1084
13618E,1053,1062
C7754,1053,1087
12367S,1058,1077
6031S,1058,1086
12049W,1058,1110
C6822,1058,1104
13271S,1059,1107
9451S,1059,1069
13040N,1059,1110
13578E,1060,1076
7013S,1060,1170
12057W,1062,1104
C340,1062,1075
2561S,1064,1110
C13660,1064,1110
13356E,1065,1087
338E,1065,1071
11764E,1066,1110
13619W,1066,1078
13361W,1067,1110
13310N,1067,1110
11929W,1069,1089
5447W,1069,1085
C13500,1069,1110
787W,1069,1094
1215W,1070,1110
C146,1070,1081
13232N,1070,1107
13632E,1071,1086
45W,1071,1093
8346E,1071,1110
3420N,1071,1151
C6606,1072,1093
8674E,1072,1104
12055W,1072,1110
12357S,1072,1110
914E,1073,1092
8649W,1073,1107
6235W,1073,1110
2555S,1073,1136
13334E,1074,1081
93W,1075,1110
87W,1075,1110
C13544,1075,1093
12381S,1076,1110
C4832,1076,1153
13328E,1076,1110
13617W,1077,1091
12406N,1077,1110
742E,1078,1140
11762E,1078,1106
91W,1078,1110
13223S,1078,1084
C13528,1078,1110
C1115,1079,1096
13343W,1079,1110
7039S,1080,1170
C13672,1080,1110
7588N,1080,1092
13634E,1080,1086
12459S,1080,1104
3414N,1081,1107
10034N,1083,1170
11503S,1083,1090
9457S,1084,1110
959W,1085,1133
13428E,1085,1099
13662E,1085,1110
330E,1085,1106
8651W,1085,1107
