st_marker_id,lat,lon,area,street_id,area_cat,st_marker_id_cat
8345W,-37.82403866113543,144.96847615953163,Southbank,591.0,24,2774
12367S,-37.81013046672039,144.9803372244377,East Melbourne,16.0,8,437
11963W,-37.814736800965576,144.982697261608,East Melbourne,511.0,8,248
13225S,-37.8193976591929,144.9456302098763,Docklands,123.0,6,703
11762E,-37.80999036689085,144.97571012254173,Jolimont,706.0,12,148
6235W,-37.805941278651645,144.95081874616176,Queensberry,617.0,20,2479
5145W,-37.80290398980547,144.95690089927058,Courtney,1062.0,4,2213
C13664,-37.81992818470879,144.94347559823186,Docklands,123.0,6,3302
5140E,-37.80297372553294,144.95705968991444,Courtney,1062.0,4,2208
C2728,-37.80991031077144,144.97035915437203,Princes Theatre,894.0,19,3396
13217S,-37.81887903218778,144.94744531512134,Docklands,123.0,6,694
13864N,-37.8123733471784,144.94104656806851,Docklands,915.0,6,1128
13050N,-37.82104865070899,144.94339949099592,Docklands,528.0,6,653
12414N,-37.81085653328952,144.97759520657974,Jolimont,178.0,12,466
13247S,-37.82007900996949,144.94327625545054,Docklands,123.0,6,723
C13726,-37.82007954448196,144.94295514316474,Docklands,123.0,6,3318
9970N,-37.82598870482719,144.96714930745702,Southbank,728.0,24,3160
13040N,-37.82112630274722,144.94372360484854,Docklands,528.0,6,645
12293S,-37.80979249881484,144.9772480695041,Jolimont,16.0,12,382
13622E,-37.81942211605225,144.943629462373,Docklands,998.0,6,929
13301W,-37.82074851014493,144.9472640082049,Docklands,753.0,6,750
13653W,-37.82030819278442,144.94538967440604,Docklands,697.0,6,962
8702E,-37.82503122530648,144.963318214392,Southbank,828.0,24,2852
C5954,-37.80392684324373,144.95399357403704,Queensberry,798.0,20,3773
12285S,-37.80975849874488,144.97693636453994,Jolimont,16.0,12,375
12266N,-37.809621831825645,144.9770232927703,Jolimont,16.0,12,358
6213W,-37.80621992572849,144.95094503560492,Queensberry,617.0,20,2470
8674E,-37.82530117411844,144.9629918316889,Southbank,828.0,24,2845
13753W,-37.81276725605508,144.93883129096886,Docklands,1398.0,6,1032
7620N,-37.80498763656493,144.94875372356168,Queensberry,1381.0,20,2640
C9020,-37.80287247647958,144.9670300382711,Drummond,1102.0,7,4216
12322N,-37.80980446844947,144.97869286750807,East Melbourne,16.0,8,394
13404E,-37.81918378673609,144.94732394885384,Docklands,1400.0,6,838
12439S,-37.81193637715751,144.97561571940406,Jolimont,1290.0,12,479
9244N,-37.82876804360365,144.9706236824099,Southbank,547.0,24,2935
12453S,-37.81200576717279,144.97624765426804,Jolimont,1290.0,12,491
3341S,-37.80897580176055,144.96983303660082,Regency,926.0,22,1736
9262N,-37.82889407958439,144.97018952912822,Southbank,547.0,24,2950
C7178,-37.80743962521508,144.9531662424701,Queensberry,1214.0,20,4074
C496,-37.81067551759528,144.9699238748613,Princes Theatre,647.0,19,3594
C7176,-37.8074264632269,144.9531933134983,Queensberry,1214.0,20,4073
13327W,-37.81974853491796,144.94690880762462,Docklands,753.0,6,782
9852N,-37.82519268908528,144.96985752649505,Southbank,728.0,24,3086
13858N,-37.81245600838406,144.9408281056877,Docklands,915.0,6,1123
7762N,-37.80254076503344,144.94582181221182,Queensberry,1175.0,20,2685
12442N,-37.81184753134404,144.9758455824391,Jolimont,1290.0,12,482
6171W,-37.804264150600936,144.94314065249569,Queensberry,612.0,20,2452
13743W,-37.81359050222113,144.93932968968582,Docklands,1398.0,6,1023
C5860,-37.80528570617085,144.95375099866678,Queensberry,798.0,20,3745
C124,-37.80875480851079,144.97184279140714,Regency,1288.0,22,3248
12433S,-37.811912068922375,144.97539496289204,Jolimont,1290.0,12,473
1550E,-37.81239673765447,144.95120502719195,West Melbourne,1285.0,33,1308
12309S,-37.80985310872121,144.97780673383124,Jolimont,16.0,12,389
13636E,-37.82036873067143,144.94457489244326,Docklands,810.0,6,944
8295W,-37.826293551681,144.96779619470774,Southbank,591.0,24,2742
13606E,-37.82031147826325,144.94400366662887,Docklands,998.0,6,917
5804E,-37.8070834098104,144.9534650513992,Queensberry,798.0,20,2363
C5966,-37.80377804476591,144.95402017467026,Queensberry,798.0,20,3779
8314E,-37.82519218461664,144.9682527634061,Southbank,591.0,24,2746
13044N,-37.82109504413757,144.94359313381324,Docklands,528.0,6,649
13662E,-37.81980590650977,144.9453547426254,Docklands,697.0,6,971
4572E,-37.808154552159976,144.96609457026418,The Mac,1221.0,28,2073
13234N,-37.81942611349133,144.94490342879857,Docklands,123.0,6,712
12278N,-37.80966490743808,144.97742277171912,Jolimont,16.0,12,369
10118E,-37.80330779710919,144.94818815873492,Queensberry,562.0,20,34
13834N,-37.81299743045345,144.93939906922648,Docklands,915.0,6,1099
12287S,-37.809769174700094,144.97703568928645,Jolimont,16.0,12,377
6227W,-37.806049072525546,144.95086738817898,Queensberry,617.0,20,2477
13313W,-37.82027323289721,144.9471289371929,Docklands,753.0,6,768
487W,-37.81071046021626,144.96981277183525,Princes Theatre,647.0,19,2139
12297S,-37.80980701908429,144.97738139050915,Jolimont,16.0,12,383
13296E,-37.81645800941625,144.9456949101669,Docklands,753.0,6,746
13482E,-37.81949229145816,144.9504366415831,Docklands,49.0,6,882
9958N,-37.82594442551273,144.96730189945814,Southbank,728.0,24,3154
8653W,-37.82554051012605,144.9625126834213,Southbank,828.0,24,2833
89W,-37.80888641115215,144.97177809248228,Regency,1288.0,22,2887
2861S,-37.81080964501693,144.967633211193,Princes Theatre,894.0,19,1661
C6088,-37.80500302625974,144.95228985072862,Queensberry,192.0,20,3794
13771W,-37.8121649254436,144.93846609366082,Docklands,1398.0,6,1050
C13580,-37.81949368254661,144.94498293377134,Docklands,123.0,6,3281
9517S,-37.828435639282,144.96628113786758,Southbank,1007.0,24,3035
9527S,-37.82828613965141,144.96551202583254,Southbank,1007.0,24,3040
C7712,-37.80359470663074,144.95447976391296,Queensberry,1175.0,20,4135
12E,-37.81469213890541,144.97470510781514,Twin Towers,1288.0,30,618
C6174,-37.803759233496535,144.9525099933819,Queensberry,192.0,20,3827
13256N,-37.81989373658233,144.94328768081613,Docklands,123.0,6,730
12282N,-37.80967937894794,144.97755782587635,Jolimont,16.0,12,373
6207W,-37.80630664630933,144.9509843197488,Queensberry,617.0,20,2468
87W,-37.80893653864281,144.97180131953928,Regency,1288.0,22,2860
13683W,-37.8205114041884,144.94609471266074,Docklands,1043.0,6,985
13772E,-37.813460652936286,144.9393702796731,Docklands,1398.0,6,1051
5807W,-37.80702712867955,144.95334035323768,Queensberry,798.0,20,2365
12446N,-37.811910283196696,144.97642226941176,Jolimont,1290.0,12,486
1207W,-37.81258422957109,144.95946907389737,Titles,1171.0,29,308
103W,-37.80806338920739,144.97139714228757,Regency,1288.0,22,85
1203W,-37.81268610607768,144.95951470462205,Titles,1171.0,29,284
C7160,-37.807149619790415,144.95375923733644,Queensberry,1214.0,20,4068
C6420,-37.80351884180942,144.95104654652098,Queensberry,881.0,20,3869
8647W,-37.82560052815213,144.96244227054996,Southbank,828.0,24,2827
C1262,-37.81170093700527,144.95919252060585,Titles,1171.0,29,3258
C4828,-37.81061157978303,144.95869809167482,Titles,1171.0,29,3579
4833W,-37.81059178739265,144.95856584051387,Titles,1171.0,29,2121
C4832,-37.81056739381661,144.95867772800116,Titles,1171.0,29,3581
12363S,-37.8101160179561,144.98020679605463,East Melbourne,16.0,8,434
5992N,-37.809723898561295,144.95901422180225,Titles,5.0,29,2409
C1152,-37.81382423578742,144.96015936553948,Hardware,1171.0,10,3215
6035S,-37.81053313257705,144.956655725953,Mint,5.0,18,2443
C1212,-37.812485166038506,144.95954853565826,Titles,1171.0,29,3237
C1220,-37.81236655334367,144.95949445282753,Titles,1171.0,29,3241
9513S,-37.82844808945997,144.9663469776632,Southbank,1007.0,24,3033
