street_marker,vioTime,depTime,lat,lon,area
C348,660,673,-37.81434286,144.9716078,Hyatt
2350N,660,690,-37.81190347,144.9708985,Windsor
13745W,660,776,-37.81354017,144.9392991,Docklands
570E,660,1020,-37.80923537,144.9693825,Regency
7019S,660,673,-37.80743172,144.9589935,Victoria Market
9828N,660,708,-37.8250716,144.9702734,Southbank
C128,660,967,-37.80873104,144.9718319,Regency
5386E,662,803,-37.80553777,144.956215,Courtney
3435S,662,687,-37.81080727,144.9635679,Library
C13544,662,804,-37.81932658,144.9455605,Docklands
11786E,663,1078,-37.81102795,144.975575,Jolimont
11752E,663,670,-37.810153,144.9756832,Jolimont
2565S,663,684,-37.81424026,144.9594621,Supreme
12267S,663,727,-37.80969521,144.9763525,Jolimont
C9114,663,673,-37.79839825,144.9647112,University
12273S,663,722,-37.80971647,144.9765488,Jolimont
C9130,663,1030,-37.79841124,144.9648342,University
12286N,664,687,-37.80969381,144.9776929,Jolimont
13358E,664,692,-37.82204065,144.9477978,Docklands
959W,664,680,-37.8120208,144.9620312,Library
12461S,664,669,-37.81203633,144.9765303,Jolimont
4833W,664,883,-37.81059179,144.9585658,Titles
12445S,664,707,-37.81197519,144.9759723,Jolimont
1205W,665,693,-37.81263517,144.9594919,Titles
2508N,665,690,-37.81086532,144.9708109,Princes Theatre
11748E,665,675,-37.81021797,144.9756725,Jolimont
13030N,666,1110,-37.82120417,144.9440486,Docklands
1157W,666,702,-37.8137775,144.9600102,Hardware
12063W,667,757,-37.81199774,144.9831622,East Melbourne
11895W,667,700,-37.81034604,144.9781159,Jolimont
13381W,668,675,-37.82039784,144.9503461,Docklands
12285S,669,680,-37.8097585,144.9769364,Jolimont
5121W,669,728,-37.80341088,144.9571384,Courtney
C320,669,705,-37.81454334,144.9717005,Hyatt
C2958,669,684,-37.81276861,144.9606346,Hardware
1433W,669,840,-37.81777479,144.956239,Family
916E,670,694,-37.81669896,144.9643856,Degraves
12420N,670,741,-37.81087695,144.9777832,Jolimont
12455S,670,681,-37.81201309,144.9763152,Jolimont
C1144,670,680,-37.81426002,144.9603591,Hardware
13621W,670,826,-37.81944631,144.9434788,Docklands
1175W,671,679,-37.81356745,144.9599138,Hardware
9451S,671,718,-37.83026756,144.9658879,Southbank
C996,671,779,-37.81847631,144.9622961,Banks
C300,671,745,-37.81475903,144.9718006,Hyatt
1431W,671,702,-37.81801438,144.95635,Family
5325W,672,830,-37.81094774,144.9559173,Mint
87W,672,678,-37.80893654,144.9718013,Regency
13041S,672,714,-37.82124275,144.9469466,Docklands
11897W,672,688,-37.81026413,144.9781295,Jolimont
7660N,674,759,-37.80495487,144.9567006,Courtney
13038N,674,787,-37.82114193,144.9437888,Docklands
13328E,674,679,-37.81684984,144.9458679,Docklands
912E,675,1067,-37.81680895,144.9644361,Degraves
C1142,675,691,-37.81428287,144.9603696,Hardware
50E,675,685,-37.81255423,144.9737144,Twin Towers
C1168,676,744,-37.81361222,144.9600631,Hardware
11963W,676,730,-37.8147368,144.9826973,East Melbourne
13234N,676,681,-37.81942611,144.9449034,Docklands
13322E,677,702,-37.81819068,144.94646,Docklands
13228N,677,695,-37.81937048,144.9450954,Docklands
11708E,677,875,-37.81037881,144.9729422,Jolimont
12483S,678,724,-37.81214097,144.9774877,Jolimont
9852N,678,764,-37.82519269,144.9698575,Southbank
11957W,678,730,-37.81489175,144.9826709,East Melbourne
12340N,678,714,-37.80989153,144.9795002,East Melbourne
12046E,679,750,-37.81233742,144.9833424,East Melbourne
354E,679,690,-37.81365735,144.971419,Windsor
9244N,679,781,-37.82876804,144.9706237,Southbank
45W,679,699,-37.81273972,144.9735492,Twin Towers
11881W,680,694,-37.81118103,144.977978,Jolimont
12091W,681,740,-37.81088921,144.983347,East Melbourne
981W,681,731,-37.81850605,144.9621837,Banks
1512E,681,711,-37.81961176,144.9545332,Markilles
789W,681,882,-37.81154817,144.9673986,Library
12309S,681,719,-37.80985311,144.9778067,Jolimont
13627W,681,729,-37.81943323,144.9444161,Docklands
13305W,682,720,-37.82058964,144.9472225,Docklands
C822,682,695,-37.81125751,144.9673896,Library
12485S,682,722,-37.81214839,144.9775554,Jolimont
12414N,682,747,-37.81085653,144.9775952,Jolimont
13258N,682,802,-37.81991234,144.9432237,Docklands
4005W,682,695,-37.80777201,144.9600844,Victoria Market
13876N,682,697,-37.81392423,144.9418947,Docklands
5335W,682,702,-37.81069267,144.9557997,Mint
13032N,683,1110,-37.82118882,144.9439845,Docklands
5185W,684,1081,-37.81111794,144.9573321,Mint
8651W,684,691,-37.82556052,144.9624892,Southbank
13671W,684,692,-37.82099788,144.9453242,Docklands
C232,684,695,-37.81555296,144.9721694,Hyatt
10115W,684,696,-37.80336265,144.9479442,Queensberry
1734N,684,696,-37.81463433,144.9731253,Twin Towers
9308N,684,720,-37.82916918,144.9692426,Southbank
13043S,685,694,-37.82126342,144.9468749,Docklands
13638E,686,739,-37.82031364,144.9445508,Docklands
C100,686,928,-37.80889656,144.9719079,Regency
12263S,686,692,-37.80968093,144.9762208,Jolimont
8649W,686,695,-37.82558052,144.9624657,Southbank
13045S,686,694,-37.82128409,144.9468033,Docklands
13685W,686,755,-37.8204511,144.9460785,Docklands
2343S,687,701,-37.81194106,144.9713216,Windsor
12446N,687,742,-37.81191028,144.9764223,Jolimont
13332E,687,714,-37.81673789,144.9458185,Docklands
13788E,687,708,-37.81255912,144.9388248,Docklands
7592N,688,698,-37.80523525,144.9510389,Queensberry
12276N,688,767,-37.80965765,144.9773553,Jolimont
12450N,688,720,-37.81192571,144.9765646,Jolimont
13223S,688,859,-37.81893006,144.9472674,Docklands
1516E,688,800,-37.81951134,144.9544873,Markilles
8812E,688,811,-37.82279551,144.9667851,Southbank
13787W,689,739,-37.81317468,144.940706,Docklands
5560E,689,716,-37.8064402,144.9541056,Queensberry
C7160,690,737,-37.80714962,144.9537592,Queensberry
C6424,690,865,-37.80349628,144.9510506,Queensberry
8281W,690,717,-37.82696653,144.9675932,Southbank
6187W,690,713,-37.80666464,144.9511474,Queensberry
6227W,690,697,-37.80604907,144.9508674,Queensberry
6225W,690,1110,-37.80607035,144.9508771,Queensberry
6243W,690,756,-37.80583352,144.9507692,Queensberry
14008E,690,702,-37.79852923,144.9579137,University
5136E,690,705,-37.8030198,144.9570811,Courtney
5152E,690,968,-37.80277031,144.9569652,Courtney
13329W,690,712,-37.81891969,144.9484019,Docklands
12373S,690,706,-37.81015218,144.980533,East Melbourne
5162E,690,1008,-37.80265814,144.9569132,Courtney
13399W,690,960,-37.82131491,144.9510674,Docklands
6191W,690,729,-37.80659981,144.9511179,Queensberry
C6300,690,950,-37.80476875,144.9508258,Queensberry
12418N,690,701,-37.81087035,144.9777224,Jolimont
6259S,690,1230,-37.80772158,144.9662652,Regency
6221W,690,1110,-37.80611292,144.9508966,Queensberry
2551S,691,698,-37.81382557,144.9608584,Hardware
101W,691,717,-37.80825367,144.9714849,Regency
2359S,691,761,-37.81228373,144.9701528,Windsor
13658E,691,741,-37.81991684,144.9453842,Docklands
5271W,691,708,-37.80449756,144.9573175,Courtney
8653W,692,708,-37.82554051,144.9625127,Southbank
2795S,692,826,-37.81048682,144.9687281,Princes Theatre
12410N,692,769,-37.81084268,144.9774676,Jolimont
9262N,693,706,-37.82889408,144.9701895,Southbank
779W,693,705,-37.81216666,144.9676823,Chinatown
11703W,693,730,-37.8101522,144.9727114,Jolimont
338E,694,791,-37.81433738,144.9717323,Hyatt
12330N,694,702,-37.80983352,144.978963,East Melbourne
C9170,694,735,-37.79845224,144.9652092,University
12357S,695,736,-37.81009442,144.9800114,East Melbourne
2340N,695,725,-37.81176666,144.9713643,Windsor
C13600,695,750,-37.81954633,144.944801,Docklands
13584E,695,742,-37.81986336,144.942745,Docklands
12360N,695,708,-37.81023444,144.982598,East Melbourne
1213W,695,778,-37.81242159,144.959395,Titles
1427W,695,702,-37.81811189,144.9563941,Family
13652E,696,730,-37.82037513,144.9455037,Docklands
12264N,696,711,-37.80954973,144.9763512,Jolimont
C1134,696,703,-37.81440089,144.9604241,Hardware
12440N,696,762,-37.81183965,144.9757731,Jolimont
C1230,696,726,-37.81227407,144.9594524,Titles
12358N,697,712,-37.81022689,144.9825305,East Melbourne
13679W,697,879,-37.82091476,144.946201,Docklands
6207W,697,806,-37.80630665,144.9509843,Queensberry
13643W,697,728,-37.82061381,144.94547,Docklands
12402N,697,722,-37.81074692,144.9765884,Jolimont
12463S,698,815,-37.81204343,144.976596,Jolimont
12331S,698,750,-37.81000437,144.9791884,East Melbourne
7146N,698,811,-37.80845438,144.9523958,Queensberry
C1210,698,713,-37.81250889,144.9595594,Titles
12369S,699,728,-37.81013767,144.9804022,East Melbourne
994E,699,723,-37.81846335,144.9624156,Banks
13810N,699,714,-37.81425262,144.9387628,Docklands
5329W,699,866,-37.81084571,144.9558703,Mint
C13596,699,995,-37.81953718,144.9448326,Docklands
13695W,699,799,-37.82014417,144.9459998,Docklands
9523S,699,799,-37.82841696,144.9661824,Southbank
4899W,699,708,-37.80826005,144.9577459,Victoria Market
12297S,700,720,-37.80980702,144.9773814,Jolimont
C13548,700,1009,-37.81934277,144.9455048,Docklands
13331W,700,726,-37.81897597,144.9484042,Docklands
C680,701,710,-37.81428853,144.9687806,City Square
12397S,701,716,-37.81097241,144.9769523,Jolimont
6205W,701,710,-37.80632778,144.9509939,Queensberry
11877W,702,715,-37.81128984,144.9779597,Jolimont
C588,702,709,-37.80898079,144.969147,Regency
13578E,703,755,-37.82037563,144.9429534,Docklands
13418E,703,728,-37.81978279,144.9479615,Docklands
5182E,703,783,-37.81115537,144.9574875,Mint
791W,704,717,-37.81149444,144.9673738,Library
